filename,Tree cover,Grassland,Cropland,Built-up,Bare / sparse vegetation,Permanent water bodies,Herbaceous wetland,Shrubland
23.9315_90.4482.png,56.5,0.37,8.91,33.8,0.37,0.05,0.0,0.0
24.0815_90.4158.png,82.38,0.02,17.59,0.0,0.02,0.0,0.0,0.0
23.6903_90.4158.png,6.29,13.58,4.1,57.06,3.54,15.43,0.0,0.0
23.8903_90.3894.png,7.79,4.88,15.74,65.54,1.28,4.76,0.0,0.0
23.9991_90.0982.png,47.99,0.36,51.16,0.12,0.0,0.37,0.0,0.0
24.0315_90.2570.png,40.87,0.76,4.53,51.38,1.36,1.08,0.02,0.0
23.8991_90.1693.png,24.42,0.05,75.41,0.12,0.0,0.0,0.01,0.0
23.9903_90.3071.png,43.45,0.78,9.03,46.49,0.26,0.0,0.0,0.0
23.9693_90.3806.png,18.24,0.79,4.52,75.04,0.7,0.69,0.01,0.0
23.7815_90.1658.png,51.38,0.0,47.95,0.67,0.0,0.0,0.0,0.0
23.8491_90.0659.png,51.9,0.44,46.72,0.87,0.0,0.07,0.0,0.0
23.8315_90.3982.png,40.78,6.64,10.68,35.76,1.86,1.8,2.48,0.0
23.7079_89.9158.png,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
24.1403_90.1306.png,64.12,0.52,34.44,0.17,0.0,0.28,0.47,0.0
24.1315_89.9395.png,37.97,0.31,60.88,0.1,0.05,0.7,0.0,0.0
23.8579_90.0482.png,33.99,0.63,65.04,0.34,0.0,0.0,0.0,0.0
24.0726_89.9158.png,26.66,0.07,73.15,0.12,0.0,0.0,0.0,0.0
23.9693_90.4070.png,54.76,0.1,39.9,5.21,0.02,0.0,0.0,0.0
23.8903_90.1070.png,22.43,5.1,71.67,0.19,0.6,0.0,0.01,0.0
24.1403_90.1693.png,60.75,3.61,33.56,0.44,1.47,0.17,0.0,0.0
24.1727_89.9806.png,42.87,0.01,56.61,0.5,0.0,0.02,0.0,0.0
23.7315_89.9894.png,2.41,2.2,83.37,0.0,0.59,11.43,0.01,0.0
23.8226_90.3482.png,52.97,1.89,2.93,34.27,3.21,4.73,0.0,0.0
23.7079_90.0982.png,22.82,3.08,73.24,0.02,0.37,0.26,0.2,0.0
23.7315_90.1983.png,26.37,0.49,71.06,0.41,0.0,1.25,0.41,0.0
23.9403_89.9659.png,8.25,4.15,80.63,0.1,0.97,5.89,0.0,0.0
23.7903_90.1570.png,55.55,0.0,43.75,0.7,0.0,0.0,0.0,0.0
23.8727_90.3692.png,19.28,11.22,9.86,48.12,8.8,0.99,1.73,0.01
23.8193_90.4306.png,7.42,1.26,2.39,88.32,0.61,0.0,0.0,0.0
23.9193_89.9894.png,41.97,1.17,56.18,0.27,0.41,0.01,0.0,0.0
23.9193_90.0192.png,33.21,0.02,66.61,0.17,0.0,0.0,0.0,0.0
24.0403_89.9806.png,34.92,0.14,64.87,0.07,0.0,0.0,0.0,0.0
24.0693_90.1192.png,46.59,2.82,42.01,5.28,0.56,2.74,0.0,0.0
23.9579_90.2982.png,51.34,0.71,32.78,15.13,0.04,0.0,0.0,0.0
23.7491_90.0982.png,46.19,0.51,49.62,0.49,0.01,3.18,0.0,0.0
24.1079_89.9483.png,38.87,0.03,61.08,0.01,0.0,0.0,0.02,0.0
23.8491_90.4070.png,10.1,2.49,7.06,64.98,14.47,0.9,0.0,0.0
23.8491_90.0482.png,23.83,1.06,74.95,0.15,0.0,0.01,0.0,0.0
24.0991_90.1658.png,36.19,0.76,16.95,43.47,1.99,0.59,0.06,0.0
23.8727_90.0571.png,32.55,1.0,66.38,0.07,0.01,0.0,0.0,0.0
23.8193_89.9692.png,42.22,0.11,57.36,0.31,0.0,0.0,0.0,0.0
24.1193_90.3306.png,73.05,0.49,14.69,1.13,2.61,4.07,3.96,0.0
24.1727_90.0571.png,16.65,1.22,76.9,0.26,0.62,4.35,0.0,0.0
23.6727_90.0571.png,17.44,0.08,82.4,0.07,0.0,0.0,0.02,0.0
23.9315_89.9395.png,9.6,0.0,89.66,0.44,0.0,0.03,0.27,0.0
23.7815_90.1983.png,12.95,0.16,86.77,0.12,0.0,0.0,0.01,0.0
24.0991_90.4692.png,59.71,1.01,23.24,15.13,0.73,0.0,0.18,0.0
23.9079_90.3071.png,38.53,1.97,9.87,48.94,0.6,0.08,0.0,0.0
23.7227_89.9982.png,4.54,1.58,87.33,0.0,0.0,5.94,0.62,0.0
23.7903_89.9192.png,22.84,0.04,77.03,0.08,0.0,0.0,0.0,0.0
23.6815_90.3982.png,7.29,43.01,29.86,19.0,0.84,0.0,0.0,0.0
24.0079_90.0482.png,20.1,0.0,78.1,0.12,0.0,0.0,1.68,0.0
24.0227_90.3692.png,52.63,1.33,43.36,2.29,0.21,0.02,0.16,0.0
23.7193_89.9982.png,4.32,1.6,78.32,0.0,0.0,15.16,0.6,0.0
23.6991_89.9395.png,0.0,0.05,0.64,0.0,0.0,99.31,0.0,0.0
