image,land_cover
23.6783_68.4147.png,Permanent_water_bodies
22.4782_69.7295.png,Permanent_water_bodies
27.2291_69.9490.png,
24.0459_70.1148.png,Permanent_water_bodies
27.5119_69.6589.png,
29.7705_75.1470.png,Cropland
21.9749_72.3148.png,Permanent_water_bodies
21.1749_72.1148.png,Permanent_water_bodies
27.4203_74.4666.png,Cropland
28.1555_81.2661.png,Tree_cover
24.2370_70.9060.png,
21.7749_72.4472.png,Permanent_water_bodies
27.7967_71.1401.png,
21.8371_72.4148.png,Permanent_water_bodies
27.2203_74.3990.png,Cropland
22.2047_85.2240.png,Tree_cover
24.0134_69.1148.png,Permanent_water_bodies
26.9384_69.2942.png,
22.0371_72.3384.png,Permanent_water_bodies
27.5972_69.9089.png,
22.1249_72.3972.png,Permanent_water_bodies
26.7118_89.5518.png,Tree_cover
23.5783_84.1707.png,Tree_cover
28.7468_72.8166.png,
26.2296_69.8353.png,
23.5547_71.3681.png,
27.1556_69.7254.png,
24.3135_70.4883.png,
26.3086_69.5266.png,
21.8283_72.4296.png,Permanent_water_bodies
24.7586_66.9765.png,Permanent_water_bodies
24.4958_71.2796.png,
23.4135_71.2383.png,
27.1468_77.1990.png,Cropland
26.7415_89.6431.png,Tree_cover
23.9635_86.4119.png,Tree_cover
24.5749_71.0796.png,
26.7472_68.7476.png,
27.4296_69.7854.png,
29.5379_73.9901.png,Cropland
27.3379_74.5578.png,Cropland
24.1959_71.0884.png,
26.1791_79.2073.png,Cropland
26.8203_73.8288.png,Cropland
24.0783_71.0796.png,
24.6292_76.8166.png,Cropland
22.8249_70.3296.png,Permanent_water_bodies
27.0056_73.5666.png,Cropland
27.5472_69.8177.png,
27.2670_77.1902.png,Cropland
21.6783_71.2682.png,Cropland
25.8880_79.3249.png,Cropland
21.3635_69.8472.png,Permanent_water_bodies
27.2472_69.4353.png,
23.6135_71.2295.png,
26.3586_67.8590.png,
27.8968_74.7578.png,Cropland
26.3472_69.9265.png,
26.7169_73.8254.png,Cropland
27.0379_73.0578.png,Cropland
27.3619_69.1975.png,
24.1459_70.7647.png,
27.4203_74.2578.png,Cropland
28.4467_80.7073.png,Tree_cover
21.5749_72.3648.png,Permanent_water_bodies
27.3379_74.0402.png,Cropland
29.8204_75.8559.png,Cropland
29.9293_74.8180.png,Cropland
24.8792_76.9402.png,Cropland
27.5620_69.7766.png,
24.8379_75.5989.png,Permanent_water_bodies
24.3783_70.5384.png,
26.7380_69.8901.png,
21.5249_72.4648.png,Permanent_water_bodies
25.7257_79.1283.png,Grassland
24.2467_73.9989.png,Permanent_water_bodies
27.4708_67.5266.png,
25.7556_78.9161.png,Grassland
24.1055_82.7783.png,
23.9870_86.1030.png,Tree_cover
27.4620_69.7942.png,
24.0249_68.9972.png,Permanent_water_bodies
24.8968_76.9166.png,Cropland
26.8203_70.0788.png,
23.7871_68.5972.png,Permanent_water_bodies
26.8327_88.2255.png,Tree_cover
24.5871_71.0796.png,
29.2617_76.0294.png,Cropland
22.4547_69.7471.png,Permanent_water_bodies
23.9620_67.4475.png,Permanent_water_bodies
24.1871_69.5059.png,
23.5547_84.1707.png,Tree_cover
24.3085_70.9353.png,
24.0371_70.1972.png,
27.2468_74.5788.png,Cropland
27.1119_68.7354.png,
21.6547_71.4296.png,Grassland
24.6547_71.0884.png,Built-up
27.3257_77.5161.png,Grassland
21.8749_72.3384.png,
28.7055_72.2990.png,Built-up
21.7047_71.2884.png,Grassland
24.5383_68.4589.png,Cropland
22.4547_69.7884.png,
21.4283_72.5682.png,
23.5871_84.0443.png,Tree_cover
23.1047_68.7060.png,
21.2635_72.1148.png,
27.2879_73.8402.png,Cropland
26.1791_76.0989.png,Cropland
25.1292_76.6990.png,Grassland
26.7296_68.6354.png,
27.4208_69.3678.png,
24.6047_71.0972.png,Built-up
28.6879_72.5754.png,Built-up
26.0467_73.3288.png,Cropland
23.6459_84.2206.png,Tree_cover
27.6585_69.7942.png,
26.0643_79.4073.png,Grassland
27.4120_69.4177.png,
26.0471_67.9942.png,
21.3749_69.7884.png,
24.1884_68.7266.png,Permanent_water_bodies
21.9739_88.6107.png,Permanent_water_bodies
23.9870_70.2148.png,
24.1371_70.7972.png,Built-up
29.3617_75.2058.png,Cropland
24.1283_69.0060.png,
25.7257_78.8485.png,Grassland
25.9208_67.9589.png,Shrubland
23.7871_84.2118.png,Tree_cover
25.4967_76.0989.png,Cropland
24.0635_70.8060.png,Built-up
21.4783_72.4060.png,
24.0959_68.7296.png,
25.9119_67.9942.png,Shrubland
23.9249_70.9296.png,Built-up
27.2556_69.8787.png,Built-up
21.7959_72.4971.png,
24.0134_68.6559.png,
22.2547_85.4031.png,Tree_cover
20.7749_70.5472.png,
22.0283_72.3972.png,
27.2586_69.1677.png,Shrubland
27.0291_73.6990.png,Cropland
24.0547_68.9972.png,
22.4547_69.6972.png,
27.3379_70.0288.png,Built-up
23.8085_67.8476.png,Permanent_water_bodies
21.4871_72.4472.png,
23.9547_69.0472.png,
28.8880_72.5788.png,Built-up
28.1258_81.3073.png,Tree_cover
27.1796_67.3265.png,Shrubland
26.9379_69.9578.png,Built-up
26.5056_70.3901.png,Built-up
21.7828_88.1930.png,Permanent_water_bodies
21.5249_72.4384.png,
23.5749_68.1647.png,
23.8620_67.5765.png,Permanent_water_bodies
26.6884_69.1266.png,Shrubland
23.7282_70.0560.png,
24.5459_71.1472.png,Built-up
23.6249_84.1619.png,Tree_cover
